# z	Hz	errHz     M
0.07	69	19.6     F
0.09	69	12     F
0.12	68.6	26.2     F
0.17	83	8     F
0.1791	75	4	D
0.1993	75	5     D
0.2	72.9	29.6     F
0.27	77	14	     F
0.28	88.8	36.6     F
0.3519	83	14     D
0.3802	83	13.5     D
0.4	95	17     F
0.4004	77	10.2     D
0.4247	87.1	11.2     D
0.445	92.8	12.9     D
0.47	89	49.6     F
0.4783	80.9	9     D
0.48	97	62     F
0.5929	104	13     D
0.6797	92	8     D
0.8     113.1    25.2     F
0.7812	105	12     D
0.8754	125	17     D
0.88	90	40     F
0.9	    117	23     F
1.037	154	20     D
1.26    135 65 F
1.3	    168	17     F
1.363	160	33.6     D
1.43	177	18     F
1.53	140	14     F
1.75	202	40     F
1.965	186.5	50.4     D
