# z Hz errHz M
0.07 69.748 19.6 F
0.09 70.462 12 F
0.12 71.569 26.2 F
0.17 73.509 8 F
0.1791 73.875 4 D
0.1993 74.700 5 D
0.2 74.729 29.6 F
0.27 77.736 14 F
0.28 78.184 36.6 F
0.3519 81.531 14 D
0.3802 82.910 13.5 D
0.4 83.894 17 F
0.4004 83.915 10.2 D
0.4247 85.146 11.2 D
0.445 86.193 12.9 D
0.47 87.505 49.6 F
0.4783 87.947 9 D
0.48 88.038 62 F
0.5929 94.315 13 D
0.6797 99.465 8 D
0.8 107.03 25.2 F
0.7812 105.82 12 D
0.8754 112.02 17 D
0.88 112.33 40 F
0.9 113.69 23 F
1.037 123.31 20 D
1.26 140.10 65 F
1.3 143.25 17 F
1.363 148.29 33.6 D
1.43 153.76 18 F
1.53 162.12 14 F
1.75 181.30 40 F
1.965 201.02 50.4 D
