# z Hz errHz M
0.07 69.755 19.6 F
0.09 70.477 12 F
0.12 71.606 26.2 F
0.17 73.619 8 F
0.1791 74.005 4 D
0.1993 74.883 5 D
0.2 74.914 29.6 F
0.27 78.222 14 F
0.28 78.731 36.6 F
0.3519 82.700 14 D
0.3802 84.428 13.5 D
0.4 85.700 17 F
0.4004 85.727 10.2 D
0.4247 87.366 11.2 D
0.445 88.804 12.9 D
0.47 90.670 49.6 F
0.4783 91.313 9 D
0.48 91.447 62 F
0.5929 101.68 13 D
0.6797 111.98 8 D
0.8 131.81 25.2 F
0.7812 128.14 12 D
0.8754 149.56 17 D
0.88 150.83 40 F
0.9 156.69 23 F
1.037 218.01 20 D
1.26 800.65 65 F
1.3 1700.2 17 F
1.363 -2018. 33.6 D
1.43 -585.2 18 F
1.53 -274.2 14 F
1.75 -117.2 40 F
1.965 -69.89 50.4 D
