# z Hz errHz M
0.07 69.748 19.6 F
0.09 70.463 12 F
0.12 71.574 26.2 F
0.17 73.529 8 F
0.1791 73.899 4 D
0.1993 74.736 5 D
0.2 74.766 29.6 F
0.27 77.852 14 F
0.28 78.317 36.6 F
0.3519 81.852 14 D
0.3802 83.342 13.5 D
0.4 84.419 17 F
0.4004 84.441 10.2 D
0.4247 85.806 11.2 D
0.445 86.982 12.9 D
0.47 88.479 49.6 F
0.4783 88.988 9 D
0.48 89.093 62 F
0.5929 96.698 13 D
0.6797 103.52 8 D
0.8 114.80 25.2 F
0.7812 112.88 12 D
0.8754 123.25 17 D
0.88 123.80 40 F
0.9 126.28 23 F
1.037 146.37 20 D
1.26 197.71 65 F
1.3 211.00 17 F
1.363 236.00 33.6 D
1.43 270.05 18 F
1.53 344.22 14 F
1.75 870.81 40 F
1.965 -1754. 50.4 D
